event_time,log_source_type,event_id,threat_identifier,user_account,user_privilege_level,host_name,workstation_name,machine_name,operating_system,source_ip_address,source_port_number,destination_ip_address,destination_port_number,client_ip_address,destination_domain,network_domain,network_protocol,security_action,event_severity,event_status,status_reason,event_category,detection_rule,security_verdict,alert_type,resource_url,http_method,user_agent_string,resource_name,affected_object,target_resource,file_accessed_path,file_path,process_name,parent_process_name,access_mask,event_description,event_details,log_message,raw_event_data,log_facility,status_code,event_location,bytes_sent_total,bytes_received_total,application_name
2025-05-26 09:00:00,firewall,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,192.168.1.72,16315.0,64.233.186.27,22.0,0.0.0.0,N/A,N/A,tcp,allow,N/A,N/A,N/A,file-transfer,allow-ssh,N/A,N/A,unknown_url,N/A,unknown_agent,N/A,N/A,N/A,none,N/A,N/A,N/A,N/A,N/A,N/A,no_message,N/A,N/A,N/A,N/A,921,2455,ssh
2025-05-26 09:00:00,edr,-1,-1,saif.alqahtani,N/A,pc-sawsan,N/A,N/A,N/A,0.0.0.0,-1.0,0.0.0.0,-1.0,0.0.0.0,N/A,N/A,smb,N/A,medium,allowed,loginfailure,N/A,N/A,N/A,suspicious powershell activity,unknown_url,N/A,unknown_agent,N/A,N/A,N/A,C:\Users\saif\Music\song.mp3,N/A,cmd.exe,services.exe,N/A,N/A,N/A,no_message,N/A,N/A,N/A,N/A,0,0,N/A
2025-05-26 09:00:00,router,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,0.0.0.0,-1.0,0.0.0.0,-1.0,0.0.0.0,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,unknown_url,N/A,unknown_agent,N/A,N/A,N/A,none,N/A,N/A,N/A,N/A,N/A,N/A,Route to 192.168.10.0/24 via 192.168.10.104 added,N/A,routing,update,um6p,0,0,N/A
2025-05-26 09:00:00,ad,4702,-1,samira.karim,N/A,N/A,um6p-fin05,N/A,N/A,0.0.0.0,-1.0,0.0.0.0,-1.0,192.168.10.10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,unknown_url,N/A,unknown_agent,N/A,"cn=backup_servers,dc=um6p,dc=local",helpdesk,none,N/A,N/A,N/A,0x23,user removed from security group,N/A,no_message,N/A,N/A,N/A,N/A,0,0,N/A
2025-05-26 09:00:10,edr,-1,-1,khaled.nasser,N/A,pc-noor,N/A,N/A,N/A,0.0.0.0,-1.0,0.0.0.0,-1.0,0.0.0.0,N/A,N/A,smb,N/A,high,blocked,userrequest,N/A,N/A,N/A,unauthorized access attempt,unknown_url,N/A,unknown_agent,N/A,N/A,N/A,C:\Users\khaled\Downloads\invoice.pdf,N/A,cmd.exe,services.exe,N/A,N/A,N/A,no_message,N/A,N/A,N/A,N/A,0,0,N/A
2025-05-26 09:00:21,mail,-1,-1,muhannad.almasri,N/A,N/A,N/A,N/A,N/A,0.0.0.0,-1.0,0.0.0.0,-1.0,0.0.0.0,N/A,N/A,N/A,login_success,N/A,N/A,N/A,N/A,N/A,N/A,N/A,unknown_url,N/A,unknown_agent,N/A,N/A,N/A,none,N/A,N/A,N/A,N/A,téléchargement d’une archive mail pour archivage: ip 10.10.12.125,N/A,no_message,N/A,N/A,N/A,N/A,0,0,N/A
2025-05-26 09:00:30,iam,-1,-1,alaa.salem,N/A,N/A,N/A,N/A,N/A,0.0.0.0,-1.0,0.0.0.0,-1.0,0.0.0.0,N/A,N/A,N/A,user_disabled,N/A,N/A,N/A,N/A,N/A,N/A,N/A,unknown_url,N/A,unknown_agent,N/A,N/A,N/A,none,N/A,N/A,N/A,N/A,user alaa.salem account disabled,N/A,no_message,N/A,N/A,N/A,N/A,0,0,N/A
2025-05-26 09:00:52,mail,-1,-1,zayd.abdelrahim,N/A,N/A,N/A,N/A,N/A,0.0.0.0,-1.0,0.0.0.0,-1.0,0.0.0.0,N/A,N/A,N/A,account_reactivated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,unknown_url,N/A,unknown_agent,N/A,N/A,N/A,none,N/A,N/A,N/A,N/A,lecture d’un email d’alerte sécurité,N/A,no_message,N/A,N/A,N/A,N/A,0,0,N/A
2025-05-26 09:00:54,ad,4725,-1,hafsa.mansur,sechangenotifyprivilege,N/A,um6p-dev02,N/A,N/A,0.0.0.0,-1.0,0.0.0.0,-1.0,172.25.26.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,unknown_url,N/A,unknown_agent,N/A,"cn=finance_reports,dc=um6p,dc=local",N/A,none,N/A,N/A,N/A,0xdb,remote logon - file server,N/A,no_message,N/A,N/A,N/A,N/A,0,0,N/A
2025-05-26 09:00:57,router,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,0.0.0.0,-1.0,0.0.0.0,-1.0,0.0.0.0,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,unknown_url,N/A,unknown_agent,N/A,N/A,N/A,none,N/A,N/A,N/A,N/A,N/A,N/A,Neighbor 192.168.10.126 on FastEthernet0/0 changed state to FULL,N/A,ospf,adjchg,um6p,0,0,N/A
