user_account,time_bucket,events_in_5min,correlated_threat
abdulrahman.karim,2025-05-26 09:45:00,[],normal
abdulrahman.karim,2025-05-26 10:05:00,['demande de ressource interne depuis ip externe'],normal
abdulrahman.karim,2025-05-26 10:30:00,[],normal
abdulrahman.karim,2025-05-26 10:45:00,['signalement d’un email phishing par utilisateur'],phishing
abdulrahman.karim,2025-05-26 11:40:00,['alerte déclenchée pour activités suspectes sur compte'],normal
abdulrahman.karim,2025-05-26 12:05:00,['access denied to grafana_dashboard for user abdulrahman.karim'],normal
abdulrahman.karim,2025-05-26 14:25:00,['special privileges assigned'],normal
abdulrahman.karim,2025-05-26 14:45:00,['lecture d’un email important concernant la réunion um6p'],normal
abdulrahman.karim,2025-05-26 15:10:00,['proxy chain détecté'],normal
abdulrahman.karim,2025-05-26 15:45:00,['scan de port détecté'],normal
abdulrahman.karim,2025-05-26 16:00:00,['domaine récemment enregistré'],normal
abdulrahman.karim,2025-05-26 17:55:00,['software installed successfully'],normal
abdulrahman.karim,2025-05-26 18:05:00,[],normal
abdulrahman.karim,2025-06-01 09:50:00,[],normal
abdulrahman.karim,2025-06-01 10:30:00,[],normal
abdulrahman.karim,2025-06-01 12:20:00,[],normal
abdulrahman.karim,2025-06-01 13:00:00,[],normal
adil.azzam,2025-05-26 09:10:00,"['user adil.azzam stopped sharing', 'two-factor authentication disabled']",normal
adil.azzam,2025-05-26 09:30:00,['user adil.azzam joined group'],normal
adil.azzam,2025-05-26 09:50:00,[],normal
adil.azzam,2025-05-26 09:55:00,['suppression d’un email confidentiel'],normal
adil.azzam,2025-05-26 10:00:00,[],normal
adil.azzam,2025-05-26 11:00:00,['user adil.azzam logged out successfully'],normal
adil.azzam,2025-05-26 11:10:00,['redirection vers site de phishing'],phishing
adil.azzam,2025-05-26 11:25:00,"['url encode suspect détecté', 'trafic normal']",normal
adil.azzam,2025-05-26 11:45:00,['demande d’aide pour récupération de mot de passe'],normal
adil.azzam,2025-05-26 12:05:00,['réinitialisation du mot de passe par l’utilisateur'],normal
adil.azzam,2025-05-26 16:25:00,['trafic de type bot détecté'],normal
adil.azzam,2025-05-26 20:40:00,[],normal
adil.azzam,2025-05-26 23:40:00,[],normal
adil.azzam,2025-05-27 04:35:00,[],normal
adil.azzam,2025-06-01 09:40:00,[],normal
adil.azzam,2025-06-01 10:00:00,[],normal
adil.azzam,2025-06-01 10:55:00,[],normal
adil.azzam,2025-06-01 11:10:00,[],normal
adil.azzam,2025-06-01 12:40:00,[],normal
adil.najjar,2025-05-26 10:05:00,"[""blocage d’un lien malveillant intégré dans un email: sujet 'conseils pour sécuriser vos accès'""]",normal
adil.najjar,2025-05-26 10:25:00,"['partage sécurisé d’un fichier via mail interne', 'suppression d’un email suspect signalé par fw']",normal
adil.najjar,2025-05-26 11:05:00,['connexion rapide et répétée au même endpoint'],normal
adil.najjar,2025-05-26 11:50:00,"[""téléchargement d’une liste de contacts sécurisée: destinataire 'zayd.abdelrahim@um6p.ma', sujet 'changement d’adresse email de contact'""]",normal
adil.najjar,2025-05-26 14:25:00,['connexion via vpn interne'],normal
adil.najjar,2025-05-26 14:50:00,['connexion bloquée - comportement anormal'],normal
adil.najjar,2025-05-26 16:50:00,['exécution de script js inconnu'],normal
adil.najjar,2025-05-26 20:00:00,['malware detected and quarantined'],normal
adil.najjar,2025-05-27 01:10:00,[],normal
adil.najjar,2025-05-27 01:25:00,[],normal
adil.najjar,2025-06-01 10:05:00,[],normal
adil.najjar,2025-06-01 12:10:00,[],normal
adil.najjar,2025-06-01 13:05:00,[],normal
ahmed.alhaj,2025-05-26 09:05:00,['consultation d’un email avec pièce jointe malveillante'],normal
ahmed.alhaj,2025-05-26 10:00:00,[],normal
ahmed.alhaj,2025-05-26 10:20:00,['tentative de connexion détectée depuis une ip étrangère'],normal
ahmed.alhaj,2025-05-26 11:25:00,['api key deleted for user ahmed.alhaj'],normal
ahmed.alhaj,2025-05-26 13:35:00,['téléchargement d’un document d’audit sécurité'],normal
ahmed.alhaj,2025-05-26 13:45:00,['utilisation de proxy public détectée'],normal
ahmed.alhaj,2025-05-26 14:00:00,['login attempt detected for user ahmed.alhaj'],normal
ahmed.alhaj,2025-05-26 14:25:00,['requête sortante bloquée'],normal
ahmed.alhaj,2025-05-26 16:25:00,[],normal
ahmed.alhaj,2025-05-26 17:30:00,[],normal
ahmed.alhaj,2025-05-26 17:45:00,[],normal
ahmed.alhaj,2025-05-26 23:20:00,['system rebooted'],normal
ahmed.alhaj,2025-05-26 23:45:00,[],normal
ahmed.alhaj,2025-05-27 01:45:00,[],normal
ahmed.alhaj,2025-05-27 04:50:00,['attempt to read ad schema'],normal
ahmed.alhaj,2025-05-27 05:40:00,['backup failed'],normal
ahmed.alhaj,2025-06-01 09:35:00,[],normal
ahmed.alhaj,2025-06-01 10:00:00,[],normal
ahmed.alhaj,2025-06-01 11:20:00,[],normal
ahmed.alsayed,2025-05-26 09:10:00,['lecture d’un email important concernant la réunion um6p'],normal
ahmed.alsayed,2025-05-26 09:30:00,"[""accès à la messagerie via vpn sécurisé: sujet 'demande d’accès temporaire au système'""]",normal
ahmed.alsayed,2025-05-26 09:40:00,['audit log cleared'],normal
ahmed.alsayed,2025-05-26 10:55:00,['signature de phishing connue détectée'],phishing
ahmed.alsayed,2025-05-26 11:20:00,['tentative de connexion détectée depuis une ip étrangère'],normal
ahmed.alsayed,2025-05-26 12:30:00,['user ahmed.alsayed attempted to escalate permissions'],normal
ahmed.alsayed,2025-05-26 12:35:00,[],normal
ahmed.alsayed,2025-05-26 13:55:00,['failed logon attempt from unusual client'],normal
ahmed.alsayed,2025-05-26 14:20:00,['api key deleted for user ahmed.alsayed'],normal
ahmed.alsayed,2025-05-26 15:25:00,['demande d’aide pour récupération de mot de passe'],normal
ahmed.alsayed,2025-05-26 15:30:00,['connexion rapide et répétée au même endpoint'],normal
ahmed.alsayed,2025-05-26 15:45:00,['connexion rapide et répétée au même endpoint'],normal
ahmed.alsayed,2025-05-26 16:50:00,['accès détecté en dehors des heures ouvrables'],normal
ahmed.alsayed,2025-05-26 17:00:00,['user logged off'],normal
ahmed.alsayed,2025-06-01 09:50:00,[],normal
ahmed.alsayed,2025-06-01 11:45:00,[],normal
