event_time,log_source_type,event_id,threat_identifier,user_account,user_privilege_level,host_name,workstation_name,machine_name,operating_system,source_ip_address,source_port_number,destination_ip_address,destination_port_number,client_ip_address,destination_domain,network_domain,network_protocol,security_action,event_severity,event_status,status_reason,event_category,detection_rule,security_verdict,alert_type,resource_url,http_method,user_agent_string,resource_name,affected_object,target_resource,file_accessed_path,file_path,process_name,parent_process_name,access_mask,event_description,event_details,log_message,raw_event_data,log_facility,status_code,event_location,bytes_sent_total,bytes_received_total,application_name
2025-05-26 09:00:00,firewall,-1,-1,nan,nan,nan,nan,nan,nan,192.168.1.72,16315,64.233.186.27,22,0.0.0.0,nan,nan,tcp,allow,nan,nan,nan,file-transfer,allow-ssh,nan,nan,unknown_url,nan,unknown_agent,nan,nan,nan,none,nan,nan,nan,nan,nan,nan,no_message,nan,nan,nan,nan,921,2455,ssh
2025-05-26 09:00:00,edr,-1,-1,saif.alqahtani,nan,pc-sawsan,nan,nan,nan,0.0.0.0,-1,0.0.0.0,-1,0.0.0.0,nan,nan,smb,nan,medium,allowed,loginfailure,nan,nan,nan,suspicious powershell activity,unknown_url,nan,unknown_agent,nan,nan,nan,C:\Users\saif\Music\song.mp3,nan,cmd.exe,services.exe,nan,nan,nan,no_message,nan,nan,nan,nan,0,0,nan
2025-05-26 09:00:00,router,-1,-1,nan,nan,nan,nan,nan,nan,0.0.0.0,-1,0.0.0.0,-1,0.0.0.0,nan,nan,nan,nan,5,nan,nan,nan,nan,nan,nan,unknown_url,nan,unknown_agent,nan,nan,nan,none,nan,nan,nan,nan,nan,nan,Route to 192.168.10.0/24 via 192.168.10.104 added,nan,routing,update,um6p,0,0,nan
2025-05-26 09:00:00,ad,4702,-1,samira.karim,nan,nan,um6p-fin05,nan,nan,0.0.0.0,-1,0.0.0.0,-1,192.168.10.10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,unknown_url,nan,unknown_agent,nan,"cn=backup_servers,dc=um6p,dc=local",helpdesk,none,nan,nan,nan,0x23,user removed from security group,nan,no_message,nan,nan,nan,nan,0,0,nan
2025-05-26 09:00:10,edr,-1,-1,khaled.nasser,nan,pc-noor,nan,nan,nan,0.0.0.0,-1,0.0.0.0,-1,0.0.0.0,nan,nan,smb,nan,high,blocked,userrequest,nan,nan,nan,unauthorized access attempt,unknown_url,nan,unknown_agent,nan,nan,nan,C:\Users\khaled\Downloads\invoice.pdf,nan,cmd.exe,services.exe,nan,nan,nan,no_message,nan,nan,nan,nan,0,0,nan
2025-05-26 09:00:21,mail,-1,-1,muhannad.almasri,nan,nan,nan,nan,nan,0.0.0.0,-1,0.0.0.0,-1,0.0.0.0,nan,nan,nan,login_success,nan,nan,nan,nan,nan,nan,nan,unknown_url,nan,unknown_agent,nan,nan,nan,none,nan,nan,nan,nan,téléchargement d’une archive mail pour archivage: ip 10.10.12.125,nan,no_message,nan,nan,nan,nan,0,0,nan
2025-05-26 09:00:30,iam,-1,-1,alaa.salem,nan,nan,nan,nan,nan,0.0.0.0,-1,0.0.0.0,-1,0.0.0.0,nan,nan,nan,user_disabled,nan,nan,nan,nan,nan,nan,nan,unknown_url,nan,unknown_agent,nan,nan,nan,none,nan,nan,nan,nan,user alaa.salem account disabled,nan,no_message,nan,nan,nan,nan,0,0,nan
2025-05-26 09:00:52,mail,-1,-1,zayd.abdelrahim,nan,nan,nan,nan,nan,0.0.0.0,-1,0.0.0.0,-1,0.0.0.0,nan,nan,nan,account_reactivated,nan,nan,nan,nan,nan,nan,nan,unknown_url,nan,unknown_agent,nan,nan,nan,none,nan,nan,nan,nan,lecture d’un email d’alerte sécurité,nan,no_message,nan,nan,nan,nan,0,0,nan
2025-05-26 09:00:54,ad,4725,-1,hafsa.mansur,sechangenotifyprivilege,nan,um6p-dev02,nan,nan,0.0.0.0,-1,0.0.0.0,-1,172.25.26.27,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,unknown_url,nan,unknown_agent,nan,"cn=finance_reports,dc=um6p,dc=local",nan,none,nan,nan,nan,0xdb,remote logon - file server,nan,no_message,nan,nan,nan,nan,0,0,nan
2025-05-26 09:00:57,router,-1,-1,nan,nan,nan,nan,nan,nan,0.0.0.0,-1,0.0.0.0,-1,0.0.0.0,nan,nan,nan,nan,5,nan,nan,nan,nan,nan,nan,unknown_url,nan,unknown_agent,nan,nan,nan,none,nan,nan,nan,nan,nan,nan,Neighbor 192.168.10.126 on FastEthernet0/0 changed state to FULL,nan,ospf,adjchg,um6p,0,0,nan
