user_account,time_bucket,events_in_5min,correlated_threat
0,2025-05-26 09:45:00,[],normal
0,2025-05-26 10:05:00,['demande de ressource interne depuis ip externe'],normal
0,2025-05-26 10:30:00,[],normal
0,2025-05-26 10:45:00,['signalement d’un email phishing par utilisateur'],phishing
0,2025-05-26 11:40:00,['alerte déclenchée pour activités suspectes sur compte'],normal
0,2025-05-26 12:05:00,['access denied to grafana_dashboard for user abdulrahman.karim'],normal
0,2025-05-26 14:25:00,['special privileges assigned'],normal
0,2025-05-26 14:45:00,['lecture d’un email important concernant la réunion um6p'],normal
0,2025-05-26 15:10:00,['proxy chain détecté'],normal
0,2025-05-26 15:45:00,['scan de port détecté'],normal
0,2025-05-26 16:00:00,['domaine récemment enregistré'],normal
0,2025-05-26 17:55:00,['software installed successfully'],normal
0,2025-05-26 18:05:00,[],normal
0,2025-06-01 09:50:00,[],normal
0,2025-06-01 10:30:00,[],normal
0,2025-06-01 12:20:00,[],normal
0,2025-06-01 13:00:00,[],normal
1,2025-05-26 09:10:00,"['user adil.azzam stopped sharing', 'two-factor authentication disabled']",normal
1,2025-05-26 09:30:00,['user adil.azzam joined group'],normal
1,2025-05-26 09:50:00,[],normal
1,2025-05-26 09:55:00,['suppression d’un email confidentiel'],normal
1,2025-05-26 10:00:00,[],normal
1,2025-05-26 11:00:00,['user adil.azzam logged out successfully'],normal
1,2025-05-26 11:10:00,['redirection vers site de phishing'],phishing
1,2025-05-26 11:25:00,"['url encode suspect détecté', 'trafic normal']",normal
1,2025-05-26 11:45:00,['demande d’aide pour récupération de mot de passe'],normal
1,2025-05-26 12:05:00,['réinitialisation du mot de passe par l’utilisateur'],normal
1,2025-05-26 16:25:00,['trafic de type bot détecté'],normal
1,2025-05-26 20:40:00,[],normal
1,2025-05-26 23:40:00,[],normal
1,2025-05-27 04:35:00,[],normal
1,2025-06-01 09:40:00,[],normal
1,2025-06-01 10:00:00,[],normal
1,2025-06-01 10:55:00,[],normal
1,2025-06-01 11:10:00,[],normal
1,2025-06-01 12:40:00,[],normal
2,2025-05-26 10:05:00,"[""blocage d’un lien malveillant intégré dans un email: sujet 'conseils pour sécuriser vos accès'""]",normal
2,2025-05-26 10:25:00,"['partage sécurisé d’un fichier via mail interne', 'suppression d’un email suspect signalé par fw']",normal
2,2025-05-26 11:05:00,['connexion rapide et répétée au même endpoint'],normal
2,2025-05-26 11:50:00,"[""téléchargement d’une liste de contacts sécurisée: destinataire 'zayd.abdelrahim@um6p.ma', sujet 'changement d’adresse email de contact'""]",normal
2,2025-05-26 14:25:00,['connexion via vpn interne'],normal
