event_time,log_source_type,event_id,threat_identifier,user_account,user_privilege_level,host_name,workstation_name,machine_name,operating_system,source_ip_address,source_port_number,destination_ip_address,destination_port_number,client_ip_address,destination_domain,network_domain,network_protocol,security_action,event_severity,event_status,status_reason,event_category,detection_rule,security_verdict,alert_type,resource_url,http_method,user_agent_string,resource_name,affected_object,target_resource,file_accessed_path,file_path,process_name,parent_process_name,access_mask,event_description,event_details,log_message,raw_event_data,log_facility,status_code,event_location,bytes_sent_total,bytes_received_total,application_name,hour,minute,time_bucket,anomaly_cluster,dbscan_status,events_in_5min,correlated_threat
2025-05-26 09:00:00,2,-1,0,143,,,,,,192.168.1.72,16315.0,64.233.186.27,22.0,0.0.0.0,,,tcp,allow,,,,file-transfer,allow-ssh,,,unknown_url,,unknown_agent,,,,none,,,,,,,no_message,,,,,921,2455,57,9,0,2025-05-26 09:00:00,0,normal,[],normal
2025-05-26 09:00:00,1,-1,0,120,,pc-sawsan,,,,0.0.0.0,-1.0,0.0.0.0,-1.0,0.0.0.0,,,smb,,medium,allowed,loginfailure,,,,suspicious powershell activity,unknown_url,,unknown_agent,,,,C:\Users\saif\Music\song.mp3,,cmd.exe,services.exe,,,,no_message,,,,,0,0,61,9,0,2025-05-26 09:00:00,0,normal,[],normal
2025-05-26 09:00:00,6,-1,0,143,,,,,,0.0.0.0,-1.0,0.0.0.0,-1.0,0.0.0.0,,,,,5,,,,,,,unknown_url,,unknown_agent,,,,none,,,,,,,Route to 192.168.10.0/24 via 192.168.10.104 added,,routing,update,um6p,0,0,61,9,0,2025-05-26 09:00:00,0,normal,[],normal
2025-05-26 09:00:00,0,4702,0,130,,,um6p-fin05,,,0.0.0.0,-1.0,0.0.0.0,-1.0,192.168.10.10,,,,,,,,,,,,unknown_url,,unknown_agent,,"cn=backup_servers,dc=um6p,dc=local",helpdesk,none,,,,0x23,user removed from security group,,no_message,,,,,0,0,61,9,0,2025-05-26 09:00:00,0,normal,['user removed from security group'],normal
2025-05-26 09:00:10,1,-1,0,61,,pc-noor,,,,0.0.0.0,-1.0,0.0.0.0,-1.0,0.0.0.0,,,smb,,high,blocked,userrequest,,,,unauthorized access attempt,unknown_url,,unknown_agent,,,,C:\Users\khaled\Downloads\invoice.pdf,,cmd.exe,services.exe,,,,no_message,,,,,0,0,61,9,0,2025-05-26 09:00:00,0,normal,[],normal
2025-05-26 09:00:21,4,-1,0,83,,,,,,0.0.0.0,-1.0,0.0.0.0,-1.0,0.0.0.0,,,,login_success,,,,,,,,unknown_url,,unknown_agent,,,,none,,,,,téléchargement d’une archive mail pour archivage: ip 10.10.12.125,,no_message,,,,,0,0,61,9,0,2025-05-26 09:00:00,0,normal,['téléchargement d’une archive mail pour archivage: ip 10.10.12.125'],normal
2025-05-26 09:00:30,3,-1,0,7,,,,,,0.0.0.0,-1.0,0.0.0.0,-1.0,0.0.0.0,,,,user_disabled,,,,,,,,unknown_url,,unknown_agent,,,,none,,,,,user alaa.salem account disabled,,no_message,,,,,0,0,61,9,0,2025-05-26 09:00:00,0,normal,"['user alaa.salem account disabled', 'connexion rapide et répétée au même endpoint']",normal
2025-05-26 09:00:52,4,-1,0,161,,,,,,0.0.0.0,-1.0,0.0.0.0,-1.0,0.0.0.0,,,,account_reactivated,,,,,,,,unknown_url,,unknown_agent,,,,none,,,,,lecture d’un email d’alerte sécurité,,no_message,,,,,0,0,61,9,0,2025-05-26 09:00:00,0,normal,['lecture d’un email d’alerte sécurité'],normal
2025-05-26 09:00:54,0,4725,0,37,sechangenotifyprivilege,,um6p-dev02,,,0.0.0.0,-1.0,0.0.0.0,-1.0,172.25.26.27,,,,,,,,,,,,unknown_url,,unknown_agent,,"cn=finance_reports,dc=um6p,dc=local",,none,,,,0xdb,remote logon - file server,,no_message,,,,,0,0,61,9,0,2025-05-26 09:00:00,0,normal,['remote logon - file server'],normal
2025-05-26 09:00:57,6,-1,0,143,,,,,,0.0.0.0,-1.0,0.0.0.0,-1.0,0.0.0.0,,,,,5,,,,,,,unknown_url,,unknown_agent,,,,none,,,,,,,Neighbor 192.168.10.126 on FastEthernet0/0 changed state to FULL,,ospf,adjchg,um6p,0,0,61,9,0,2025-05-26 09:00:00,0,normal,[],normal
2025-05-26 09:01:00,2,-1,0,143,,,,,,192.168.1.55,51396.0,64.233.186.27,21.0,0.0.0.0,,,tcp,allow,,,,file-transfer,allow-ftp-control,,,unknown_url,,unknown_agent,,,,none,,,,,,,no_message,,,,,1754,6055,9,9,1,2025-05-26 09:00:00,0,normal,[],normal
2025-05-26 09:01:16,1,-1,0,141,,pc-lina,,,,0.0.0.0,-1.0,0.0.0.0,-1.0,0.0.0.0,,,smb,,critical,allowed,loginfailure,,,,malware detected,unknown_url,,unknown_agent,,,,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Startup\script.js,,explorer.exe,explorer.exe,,,,no_message,,,,,0,0,61,9,1,2025-05-26 09:00:00,0,normal,[],normal
2025-05-26 09:01:18,2,-1,0,143,,,,,,192.168.1.78,19634.0,139.59.196.186,69.0,0.0.0.0,,,udp,allow,,,,file-transfer,allow-tftp,,,unknown_url,,unknown_agent,,,,none,,,,,,,no_message,,,,,4167,6050,60,9,1,2025-05-26 09:00:00,0,normal,[],normal
2025-05-26 09:01:20,2,-1,0,143,,,,,,192.168.1.16,63613.0,13.224.0.0,993.0,0.0.0.0,,,tcp,allow,,,,email,allow-imaps,,,unknown_url,,"""Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/115.0""",,,,none,,,,,,,no_message,,,,,6328,6929,22,9,1,2025-05-26 09:00:00,0,normal,[],normal
2025-05-26 09:01:27,2,-1,0,143,,,,,,192.168.1.90,59487.0,157.240.1.35,2222.0,0.0.0.0,,,tcp,allow,,,,remote-access,allow-alt-ssh,,,unknown_url,,unknown_agent,,,,none,,,,,,,no_message,,,,,1841,6007,0,9,1,2025-05-26 09:00:00,0,normal,[],normal
2025-05-26 09:01:38,7,-1,0,50,,pc-farouk,,,,0.0.0.0,-1.0,0.0.0.0,-1.0,0.0.0.0,,,,,,,,,,malware_detected,,unknown_url,,unknown_agent,,,,none,guide_securite_informatique.pdf,,,,,,no_message,scriptexecution,,,,0,0,61,9,1,2025-05-26 09:00:00,0,normal,[],normal
2025-05-26 09:01:39,4,-1,0,87,,,,,,0.0.0.0,-1.0,0.0.0.0,-1.0,0.0.0.0,,,,email_rule_triggered,,,,,,,,unknown_url,,unknown_agent,,,,none,,,,,téléchargement d’une archive mail pour archivage,,no_message,,,,,0,0,61,9,1,2025-05-26 09:00:00,0,normal,['téléchargement d’une archive mail pour archivage'],normal
2025-05-26 09:01:41,6,-1,0,143,,,,,,0.0.0.0,-1.0,0.0.0.0,-1.0,0.0.0.0,,,,,5,,,,,,,unknown_url,,unknown_agent,,,,none,,,,,,,Neighbor 192.168.10.101 on Vlan10 went down,,ospf,neighbor_change,um6p,0,0,61,9,1,2025-05-26 09:00:00,0,normal,[],normal
2025-05-26 09:01:59,2,-1,0,143,,,,,,192.168.1.10,17404.0,104.198.14.52,12345.0,0.0.0.0,,,tcp,allow,,,,malware,allow-netbus,,,unknown_url,,unknown_agent,,,,none,,,,,,,no_message,,,,,7323,3225,39,9,1,2025-05-26 09:00:00,0,normal,[],normal
2025-05-26 09:02:05,4,-1,0,123,,,,,,0.0.0.0,-1.0,0.0.0.0,-1.0,0.0.0.0,,,,unauthorized_access_attempt,,,,,,,,unknown_url,,unknown_agent,,,,none,,,,,signalement d’un phishing à l’équipe sécurité,,no_message,,,,,0,0,61,9,2,2025-05-26 09:00:00,0,normal,['signalement d’un phishing à l’équipe sécurité'],phishing
2025-05-26 09:02:08,2,-1,0,143,,,,,,192.168.1.26,15423.0,13.224.0.0,6379.0,0.0.0.0,,,tcp,allow,,,,database,allow-redis,,,unknown_url,,unknown_agent,,,,none,,,,,,,no_message,,,,,3469,5155,47,9,2,2025-05-26 09:00:00,0,normal,[],normal
2025-05-26 09:02:09,6,-1,0,143,,,,,,0.0.0.0,-1.0,0.0.0.0,-1.0,0.0.0.0,,,,,6,,,,,,,unknown_url,,unknown_agent,,,,none,,,,,,,Assigned IP 192.168.10.114 to MAC 00:1A:2B:3C:4D:17 on FastEthernet0/1,,dhcpd,address_assign,um6p,0,0,61,9,2,2025-05-26 09:00:00,0,normal,[],normal
2025-05-26 09:02:15,2,-1,0,143,,,,,,192.168.1.31,48361.0,5.196.0.1,990.0,0.0.0.0,,,tcp,allow,,,,file-transfer,allow-ftps-control,,,unknown_url,,unknown_agent,,,,none,,,,,,,no_message,,,,,8913,8729,11,9,2,2025-05-26 09:00:00,0,normal,[],normal
2025-05-26 09:02:20,6,-1,0,143,,,,,,0.0.0.0,-1.0,0.0.0.0,-1.0,0.0.0.0,,,,,4,,,,,,,unknown_url,,unknown_agent,,,,none,,,,,,,Lease expired for IP 192.168.10.111 on GigabitEthernet0/0,,dhcpd,expire,um6p,0,0,61,9,2,2025-05-26 09:00:00,0,normal,[],normal
2025-05-26 09:02:23,7,-1,0,53,,pc-reem,,,,0.0.0.0,-1.0,0.0.0.0,-1.0,0.0.0.0,,,,,,,,,,malware_detected,,unknown_url,,unknown_agent,,,,none,document_validation_projet.pdf,,,,,,no_message,dnsrequest,,,,0,0,61,9,2,2025-05-26 09:00:00,0,normal,[],normal
2025-05-26 09:02:30,3,-1,0,137,,,,,,0.0.0.0,-1.0,0.0.0.0,-1.0,0.0.0.0,,,,mfa_challenge,,,,,,,,unknown_url,,unknown_agent,,,,none,,,,,mfa challenge triggered for user siham.faraj,,no_message,,,,,0,0,61,9,2,2025-05-26 09:00:00,0,normal,['mfa challenge triggered for user siham.faraj'],normal
2025-05-26 09:02:34,6,-1,0,143,,,,,,0.0.0.0,-1.0,0.0.0.0,-1.0,0.0.0.0,,,,,5,,,,,,,unknown_url,,unknown_agent,,,,none,,,,,,,Route to 192.168.10.0/24 via 192.168.10.111 removed,,routing,update,um6p,0,0,61,9,2,2025-05-26 09:00:00,0,normal,[],normal
2025-05-26 09:02:39,6,-1,0,143,,,,,,0.0.0.0,-1.0,0.0.0.0,-1.0,0.0.0.0,,,,,4,,,,,,,unknown_url,,unknown_agent,,,,none,,,,,,,"Routing failed to reach 192.168.10.106 via 10.0.0.1, dropping packet",,routing,rt_fail,um6p,0,0,61,9,2,2025-05-26 09:00:00,0,normal,[],normal
2025-05-26 09:02:45,2,-1,0,143,,,,,,192.168.1.28,18888.0,69.63.176.13,12345.0,0.0.0.0,,,tcp,allow,,,,malware,allow-netbus,,,unknown_url,,unknown_agent,,,,none,,,,,,,no_message,,,,,4922,6704,39,9,2,2025-05-26 09:00:00,0,normal,[],normal
2025-05-26 09:03:03,5,-1,0,7,,,,,,0.0.0.0,-1.0,0.0.0.0,-1.0,10.10.12.56,,helpdesk.um6p.ma,,,,,,,,,,http://helpdesk.um6p.ma/reset-password,get,unknown_agent,,,,none,,,,,connexion rapide et répétée au même endpoint,,no_message,,,,,0,0,61,9,3,2025-05-26 09:00:00,0,normal,"['user alaa.salem account disabled', 'connexion rapide et répétée au même endpoint']",normal
2025-05-26 09:03:19,6,-1,0,143,,,,,,0.0.0.0,-1.0,0.0.0.0,-1.0,0.0.0.0,,,,,5,,,,,,,unknown_url,,unknown_agent,,,,none,,,,,,,System booted successfully,,sys,startup,um6p,0,0,61,9,3,2025-05-26 09:00:00,0,normal,[],normal
2025-05-26 09:03:30,2,-1,0,143,,,,,,192.168.1.62,25087.0,147.253.224.2,5900.0,0.0.0.0,,,tcp,allow,,,,remote-access,allow-vnc,,,unknown_url,,unknown_agent,,,,none,,,,,,,no_message,,,,,6628,7763,62,9,3,2025-05-26 09:00:00,0,normal,[],normal
2025-05-26 09:03:33,3,-1,0,31,,,,,,0.0.0.0,-1.0,0.0.0.0,-1.0,0.0.0.0,,,,session_terminated,,,,,,,,unknown_url,,unknown_agent,,,,none,,,,,session terminated for user fatma.ismail,,no_message,,,,,0,0,61,9,3,2025-05-26 09:00:00,0,normal,['session terminated for user fatma.ismail'],normal
2025-05-26 09:03:38,7,-1,0,88,,pc-marwan,,,,0.0.0.0,-1.0,0.0.0.0,-1.0,0.0.0.0,,,,,,,,,,phishing_link,,unknown_url,,unknown_agent,,,,none,notes_reunion_um6p.docx,,,,,,no_message,logreview,,,,0,0,61,9,3,2025-05-26 09:00:00,0,normal,[],normal
2025-05-26 09:03:48,7,-1,0,144,,pc-mohsen,,,,0.0.0.0,-1.0,0.0.0.0,-1.0,0.0.0.0,,,,,,,,,,suspicious,,unknown_url,,unknown_agent,,,,none,budget_it_urgent.xlsx,,,,,,no_message,login,,,,0,0,61,9,3,2025-05-26 09:00:00,0,normal,[],normal
2025-05-26 09:03:51,0,4647,0,41,,,um6p-desk03,,,0.0.0.0,-1.0,0.0.0.0,-1.0,192.168.9.9,,,,,,,,,,,,unknown_url,,unknown_agent,,,,none,,,,,vpn connection established,,no_message,,,,,0,0,61,9,3,2025-05-26 09:00:00,0,normal,['vpn connection established'],normal
2025-05-26 09:04:00,2,-1,0,143,,,,,,192.168.1.46,52945.0,15.230.0.0,636.0,0.0.0.0,,,tcp,allow,,,,directory-auth,allow-ldaps,,,unknown_url,,unknown_agent,,,,none,,,,,,,no_message,,,,,8000,2381,29,9,4,2025-05-26 09:00:00,0,normal,[],normal
