timestamp,user,machine,os,action,details
2025-06-01 09:00:00,khaled.rafat,PC-192.168.1.55,Windows 7,network_connection,"dest_ip=192.168.1.225 dest_port=60029 protocol=SMB description=""Outbound connection attempt"""
2025-06-01 09:00:40,fadi.kassem,PC-192.168.1.145,macOS Catalina,service_stopped,"service_name=""WinDefend"" description=""Service stopped"""
2025-06-01 09:01:32,manal.rashid,PC-192.168.1.39,macOS Big Sur,process_creation,"process_name=Slack.exe arguments=""/c Get-Content C:\Users\user\Documents\passwords.txt"" description=""Process created"""
2025-06-01 09:02:14,salwa.hamdi,PC-192.168.1.32,Android 11,clipboard_access,"description=""Clipboard accessed"""
2025-06-01 09:03:02,zainab.karim,PC-192.168.1.245,macOS Monterey,file_deleted,"file_path=""C:\\Users\\zainab.karim\\Documents\\oldfile.rar"" description=""File deleted"""
2025-06-01 09:03:47,mohamed.hassan,PC-192.168.1.123,Windows Server 2022,service_stopped,"service_name=""WinDefend"" description=""Service stopped"""
2025-06-01 09:03:54,fatima.alami,PC-192.168.1.121,macOS Catalina,clipboard_access,"description=""Clipboard accessed"""
2025-06-01 09:04:18,rima.bashir,PC-192.168.1.142,Windows Server 2022,email_sent,"email_subject=""Monthly report"" recipient=""boss@secure-file-exchange.org"" description=""User sent email"""
2025-06-01 09:04:36,lina.abdulaziz,PC-192.168.1.228,Windows 10,logout,"description=""User lina.abdulaziz logged out"""
2025-06-01 09:04:37,muna.bakr,PC-192.168.1.115,Windows Server 2016,file_decrypted,"file_path=""C:\\Users\\muna.bakr\\Documents\\secret.docx"" description=""File decrypted"""
2025-06-01 09:05:09,zahra.mahdi,PC-192.168.1.53,iOS 14,usb_drive_mounted,"drive_letter=""E:"" description=""USB drive mounted"""
2025-06-01 09:06:03,yara.khaled,PC-192.168.1.122,Ubuntu 22.04,network_connection,"dest_ip=192.168.1.184 dest_port=34212 protocol=HLS description=""Outbound connection attempt"""
2025-06-01 09:06:41,omar.salem,PC-192.168.1.212,Windows 10,email_clicked,"email_subject=""Invoice update"" url=""http://security-authenticate.com/login"" description=""User clicked suspicious link"""
2025-06-01 09:07:06,sawsan.mansour,PC-192.168.1.11,Ubuntu 20.04,password_changed,"description=""User changed password"""
2025-06-01 09:07:11,zaki.bahaa,PC-192.168.1.199,Windows 11,software_uninstalled,"software_name=""Adobe Reader"" description=""Software uninstalled"""
2025-06-01 09:08:00,muna.rashid,PC-192.168.1.59,Android 12,clipboard_access,"description=""Clipboard accessed"""
2025-06-01 09:08:11,salma.hamdan,PC-192.168.1.44,Fedora 36,file_decrypted,"file_path=""C:\\Users\\salma.hamdan\\Documents\\secret.py"" description=""File decrypted"""
2025-06-01 09:08:22,hala.sharif,PC-192.168.1.139,Red Hat Enterprise Linux 9,process_creation,"process_name=virtualbox.exe arguments=""/c sc query"" description=""Process created"""
2025-06-01 09:08:52,farid.shaheen,PC-192.168.1.123,Windows Server 2022,service_stopped,"service_name=""WinDefend"" description=""Service stopped"""
2025-06-01 09:09:21,mariyam.farid,PC-192.168.1.120,Windows Server 2019,screen_lock,"description=""User locked the screen"""
2025-06-01 09:09:36,zaina.karim,PC-192.168.1.158,iOS 15,service_started,"service_name=""WinDefend"" description=""Service started"""
2025-06-01 09:10:10,lina.abdulaziz,PC-192.168.1.142,CentOS 8,file_modified,"file_path=""C:\\Users\\lina.abdulaziz\\Documents\\notes.xlsx"" description=""File modified"""
2025-06-01 09:10:42,kamilah.mohamed,PC-192.168.1.183,Red Hat Enterprise Linux 9,email_sent,"email_subject=""Monthly report"" recipient=""boss@invoice-portal-mail.com"" description=""User sent email"""
2025-06-01 09:11:14,jamal.alfaraj,PC-192.168.1.178,Red Hat Enterprise Linux 8,alert_av,"alert_level=high description=""Antivirus alert triggered"""
2025-06-01 09:11:49,samah.fahmi,PC-192.168.1.118,Red Hat Enterprise Linux 8,scheduled_task_created,"task_name=""UpdateCheck"" description=""Scheduled task created"""
2025-06-01 09:11:50,farouk.karim,PC-192.168.1.18,Red Hat Enterprise Linux 9,logout,"description=""User farouk.karim logged out"""
2025-06-01 09:12:34,hamza.zaki,PC-192.168.1.140,Windows Server 2022,software_installed,"software_name=""7-Zip"" description=""Software installed"""
2025-06-01 09:12:37,sara.abdelkarim,PC-192.168.1.151,Debian 11,alert_av,"alert_level=critical description=""Antivirus alert triggered"""
2025-06-01 09:13:25,fatma.ismail,PC-192.168.1.159,Android 11,logout,"description=""User fatma.ismail logged out"""
2025-06-01 09:13:58,farid.shaheen,PC-192.168.1.125,FreeBSD 12,close_application,"application=zoom.exe description=""User closed zoom.exe"""
2025-06-01 09:14:24,muna.rashid,PC-192.168.1.19,Ubuntu 22.04,screen_unlock,"description=""User unlocked the screen"""
2025-06-01 09:15:24,wael.abdulrahim,PC-192.168.1.41,macOS Catalina,usb_inserted,"device_id=""USB\VID_1234&PID_5678"" description=""USB device inserted"""
2025-06-01 09:15:47,nidaa.farouk,PC-192.168.1.28,macOS Catalina,file_deleted,"file_path=""C:\\Users\\nidaa.farouk\\Documents\\oldfile.sys"" description=""File deleted"""
2025-06-01 09:16:32,tamer.karim,PC-192.168.1.119,Windows 11,software_uninstalled,"software_name=""Adobe Reader"" description=""Software uninstalled"""
2025-06-01 09:17:22,muhannad.almasri,PC-192.168.1.72,Debian 11,open_application,"application=photoshop.exe description=""User launched photoshop.exe"""
2025-06-01 09:17:51,hassan.amir,PC-192.168.1.181,Windows Server 2022,email_sent,"email_subject=""Monthly report"" recipient=""boss@api-stealer-c2.com"" description=""User sent email"""
2025-06-01 09:17:52,nidaa.farouk,PC-192.168.1.59,Red Hat Enterprise Linux 9,login_failed,"target_user=administrator description=""Failed login attempt"""
2025-06-01 09:18:04,zaki.bahaa,PC-192.168.1.221,FreeBSD 13,open_application,"application=vpnclient.exe description=""User launched vpnclient.exe"""
2025-06-01 09:18:16,saif.alqahtani,PC-192.168.1.66,FreeBSD 13,config_change,"config_item=""FirewallRule"" description=""Firewall configuration changed"""
2025-06-01 09:18:32,sara.abdelkarim,PC-192.168.1.31,Windows Server 2022,credential_dump,"file_path=""C:\\Windows\\System32\\config\\SAM"" description=""Credential dump attempt"""
2025-06-01 09:19:05,fatima.alami,PC-192.168.1.233,Ubuntu 20.04,registry_modified,"reg_path=""HKCU\\Software\\Microsoft\\Windows\\CurrentVersion\\Run"" reg_value=""malware"" description=""Registry key modified"""
2025-06-01 09:19:32,yasin.abdelrahman,PC-192.168.1.34,Red Hat Enterprise Linux 8,email_received,"email_subject=""Invoice update"" sender=""finance@admin-um6p-reset.net"" description=""User received email"""
2025-06-01 09:20:07,rania.faraj,PC-192.168.1.161,Windows 7,logout,"description=""User rania.faraj logged out"""
