timestamp,user,action,description,protocol,url,method,source_ip,dest_ip,dest_domain,client_ip,source_port,dest_port,severity,host,rule_name,app,category,bytes_sent,bytes_received,threat_id,user_agent,eventid,workstation,privilege,object,accessmask,target,status,reason,process,parentprocess,fileaccessed,alert,machine,os,details,resource,location,facility,code,message,event,file,verdict,log_type,domain
2025-05-26 09:00:00,,allow,,tcp,,,192.168.1.72,64.233.186.27,,,16315.0,22.0,,,Allow-SSH,ssh,file-transfer,921.0,2455.0,,,,,,,,,,,,,,,,,,,,,,,,,,firewall,
2025-05-26 09:00:00,saif.alqahtani,,,SMB,,,,,,,,,Medium,PC-Sawsan,,,,,,,,,,,,,,Allowed,LoginFailure,cmd.exe,services.exe,C:\Users\saif\Music\song.mp3,Suspicious PowerShell Activity,,,,,,,,,,,,edr,
2025-05-26 09:00:00,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,UM6P,ROUTING,UPDATE,Route to 192.168.10.0/24 via 192.168.10.104 added,,,,router,
2025-05-26 09:00:00,samira.karim,,User removed from security group,,,,,,,192.168.10.10,,,,,,,,,,,,4702.0,UM6P-FIN05,,"CN=Backup_Servers,DC=um6p,DC=local",0x23,HelpDesk,,,,,,,,,,,,,,,,,,ad,
2025-05-26 09:00:10,khaled.nasser,,,SMB,,,,,,,,,High,PC-Noor,,,,,,,,,,,,,,Blocked,UserRequest,cmd.exe,services.exe,C:\Users\khaled\Downloads\invoice.pdf,Unauthorized Access Attempt,,,,,,,,,,,,edr,
2025-05-26 09:00:21,muhannad.almasri,LOGIN_SUCCESS,Téléchargement d’une archive mail pour archivage: IP 10.10.12.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mail,
2025-05-26 09:00:30,alaa.salem,user_disabled,User alaa.salem account disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iam,
2025-05-26 09:00:52,zayd.abdelrahim,ACCOUNT_REACTIVATED,Lecture d’un email d’alerte sécurité,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mail,
2025-05-26 09:00:54,hafsa.mansur,,Remote logon - File server,,,,,,,172.25.26.27,,,,,,,,,,,,4725.0,UM6P-DEV02,SeChangeNotifyPrivilege,"CN=Finance_Reports,DC=um6p,DC=local",0xdb,,,,,,,,,,,,,,,,,,,ad,
2025-05-26 09:00:57,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,UM6P,OSPF,ADJCHG,Neighbor 192.168.10.126 on FastEthernet0/0 changed state to FULL,,,,router,
2025-05-26 09:01:00,,allow,,tcp,,,192.168.1.55,64.233.186.27,,,51396.0,21.0,,,Allow-FTP-Control,ftp-control,file-transfer,1754.0,6055.0,,,,,,,,,,,,,,,,,,,,,,,,,,firewall,
2025-05-26 09:01:16,tariq.mansour,,,SMB,,,,,,,,,Critical,PC-Lina,,,,,,,,,,,,,,Allowed,LoginFailure,explorer.exe,explorer.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Startup\script.js,Malware Detected,,,,,,,,,,,,edr,
2025-05-26 09:01:18,,allow,,udp,,,192.168.1.78,139.59.196.186,,,19634.0,69.0,,,Allow-TFTP,tftp,file-transfer,4167.0,6050.0,,,,,,,,,,,,,,,,,,,,,,,,,,firewall,
2025-05-26 09:01:20,,allow,,tcp,,,192.168.1.16,13.224.0.0,,,63613.0,993.0,,,Allow-IMAPS,imaps,email,6328.0,6929.0,,"""Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/115.0""",,,,,,,,,,,,,,,,,,,,,,,,firewall,
2025-05-26 09:01:27,,allow,,tcp,,,192.168.1.90,157.240.1.35,,,59487.0,2222.0,,,Allow-Alt-SSH,alt-ssh,remote-access,1841.0,6007.0,,,,,,,,,,,,,,,,,,,,,,,,,,firewall,
2025-05-26 09:01:38,jamal.alfaraj,,,,,,,,,,,,,PC-Farouk,,,,,,,,,,,,,,,,,,,,,,,,,,,,ScriptExecution,guide_securite_informatique.pdf,Malware_Detected,siem,
2025-05-26 09:01:39,nabil.ayoub,EMAIL_RULE_TRIGGERED,Téléchargement d’une archive mail pour archivage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mail,
2025-05-26 09:01:41,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,UM6P,OSPF,NEIGHBOR_CHANGE,Neighbor 192.168.10.101 on Vlan10 went down,,,,router,
2025-05-26 09:01:59,,allow,,tcp,,,192.168.1.10,104.198.14.52,,,17404.0,12345.0,,,Allow-NetBus,netbus,malware,7323.0,3225.0,,,,,,,,,,,,,,,,,,,,,,,,,,firewall,
