timestamp,user,action,description,protocol,url,method,source_ip,dest_ip,dest_domain,client_ip,source_port,dest_port,severity,host,rule_name,app,category,bytes_sent,bytes_received,threat_id,user_agent,eventid,workstation,privilege,object,accessmask,target,status,reason,process,parentprocess,fileaccessed,alert,machine,os,details,resource,location,facility,code,message,event,file,verdict,log_type,domain
2025-05-26T09:00:00,,allow,,tcp,,,192.168.1.72,64.233.186.27,,,16315,22,,,Allow-SSH,ssh,file-transfer,921,2455,,,,,,,,,,,,,,,,,,,,,,,,,,firewall,
2025-05-26T09:01:00,,allow,,tcp,,,192.168.1.55,64.233.186.27,,,51396,21,,,Allow-FTP-Control,ftp-control,file-transfer,1754,6055,,,,,,,,,,,,,,,,,,,,,,,,,,firewall,
2025-05-26T09:01:18,,allow,,udp,,,192.168.1.78,139.59.196.186,,,19634,69,,,Allow-TFTP,tftp,file-transfer,4167,6050,,,,,,,,,,,,,,,,,,,,,,,,,,firewall,
2025-05-26T09:01:20,,allow,,tcp,,,192.168.1.16,13.224.0.0,,,63613,993,,,Allow-IMAPS,imaps,email,6328,6929,,"""Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/115.0""",,,,,,,,,,,,,,,,,,,,,,,,firewall,
2025-05-26T09:01:27,,allow,,tcp,,,192.168.1.90,157.240.1.35,,,59487,2222,,,Allow-Alt-SSH,alt-ssh,remote-access,1841,6007,,,,,,,,,,,,,,,,,,,,,,,,,,firewall,
2025-05-26T09:01:59,,allow,,tcp,,,192.168.1.10,104.198.14.52,,,17404,12345,,,Allow-NetBus,netbus,malware,7323,3225,,,,,,,,,,,,,,,,,,,,,,,,,,firewall,
2025-05-26T09:02:08,,allow,,tcp,,,192.168.1.26,13.224.0.0,,,15423,6379,,,Allow-Redis,redis,database,3469,5155,,,,,,,,,,,,,,,,,,,,,,,,,,firewall,
2025-05-26T09:02:15,,allow,,tcp,,,192.168.1.31,5.196.0.1,,,48361,990,,,Allow-FTPS-Control,ftps-control,file-transfer,8913,8729,,,,,,,,,,,,,,,,,,,,,,,,,,firewall,
2025-05-26T09:02:45,,allow,,tcp,,,192.168.1.28,69.63.176.13,,,18888,12345,,,Allow-NetBus,netbus,malware,4922,6704,,,,,,,,,,,,,,,,,,,,,,,,,,firewall,
2025-05-26T09:03:30,,allow,,tcp,,,192.168.1.62,147.253.224.2,,,25087,5900,,,Allow-VNC,vnc,remote-access,6628,7763,,,,,,,,,,,,,,,,,,,,,,,,,,firewall,
2025-05-26T09:04:00,,allow,,tcp,,,192.168.1.46,15.230.0.0,,,52945,636,,,Allow-LDAPS,ldaps,directory-auth,8000,2381,,,,,,,,,,,,,,,,,,,,,,,,,,firewall,
2025-05-26T09:04:10,,allow,,tcp,,,192.168.1.28,31.13.71.36,,,14133,646,,,Allow-LDP,ldp,remote-access,7674,2954,,,,,,,,,,,,,,,,,,,,,,,,,,firewall,
2025-05-26T09:04:12,,allow,,tcp,,,192.168.1.52,8.8.8.8,,,15249,80,,,Allow-HTTP,http,web,1072,869,,"""Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/115.0""",,,,,,,,,,,,,,,,,,,,,,,,firewall,
2025-05-26T09:04:30,,allow,,udp,,,192.168.1.30,52.239.148.88,,,18678,1701,,,Allow-L2TP,l2tp,vpn,5545,7409,,,,,,,,,,,,,,,,,,,,,,,,,,firewall,
2025-05-26T09:04:39,,allow,,tcp,,,192.168.1.66,206.189.0.1,,,33102,990,,,Allow-FTPS-Control,ftps-control,file-transfer,2585,3068,,,,,,,,,,,,,,,,,,,,,,,,,,firewall,
2025-05-26T09:05:12,,allow,,udp,,,192.168.1.58,172.217.22.14,,,9067,161,,,Allow-SNMP,snmp,network-services,4484,3380,,,,,,,,,,,,,,,,,,,,,,,,,,firewall,
2025-05-26T09:06:25,,allow,,tcp,,,192.168.1.94,23.23.23.23,,,7605,8443,,,Allow-HTTPS-Alt,https-alt,web,8428,5047,,,,,,,,,,,,,,,,,,,,,,,,,,firewall,
2025-05-26T09:07:03,,allow,,tcp,,,192.168.1.44,209.85.231.108,,,14420,443,,,Allow-HTTPS,https,web,2085,3493,,,,,,,,,,,,,,,,,,,,,,,,,,firewall,
2025-05-26T09:07:21,,allow,,tcp,,,192.168.1.87,185.107.56.253,,,45704,6667,,,Allow-IRC,irc,malware,693,4516,,,,,,,,,,,,,,,,,,,,,,,,,,firewall,
2025-05-26T09:07:45,,allow,,tcp,,,192.168.1.63,18.184.0.0,,,15050,1720,,,Allow-H323,h323,voip,145,154,,,,,,,,,,,,,,,,,,,,,,,,,,firewall,
